Dependent Variable,Ideology Coef,SE,p-value,N,R²
log(Tesla BEV + 1),+0.0495***,(0.0051),0.000,63021,0.619
log(Non-Tesla BEV + 1),+0.0605***,(0.0046),0.000,63021,0.492
log(Light Truck + 1),-0.0226***,(0.0058),0.000,63021,0.130
Tesla Share of BEVs,+0.0022***,(0.0008),0.003,62984,0.521
