Variable,Coef,SE,p-value,CI_lo,CI_hi
Intercept,0.5424***,(0.0264),0.000,0.4908,0.5941
climate_ideology_index,0.0109***,(0.0003),0.000,0.0102,0.0116
log_median_hh_income,-0.0448***,(0.0024),0.000,-0.0494,-0.0401
pct_ba_plus,0.0945***,(0.0072),0.000,0.0805,0.1086
pop_density,-0.0000***,(0.0000),0.000,-0.0000,-0.0000
pct_white,-0.0310***,(0.0025),0.000,-0.0359,-0.0261
pct_wfh,0.0232***,(0.0079),0.003,0.0077,0.0388
